id,name,latitude,longitude,status,reliability,penalty,description
88,서울지방보훈청,37.534923,126.974192,0,100,0,서울특별시 용산구 서울지방보훈청 실외
89,용산세무서,37.523302,126.96868,0,100,0,서울특별시 용산구 용산세무서 1층 외부
90,국방부,37.533237,126.97859,0,100,0,서울특별시 용산구 국방부 컨벤스 1층 외부
91,순천향대학교병원,37.534466,127.004585,0,100,0,서울특별시 용산구 순천향대학교 서울병원 장례식장 외부
92,순천향대학교병원,37.534009,127.004334,0,100,0,서울특별시 용산구 순천향대학교 서울병원 신관 옥상
93,하얏트호텔,37.539372,126.997264,0,100,0,서울특별시 용산구 1층 외부 주차장 가는길 휴식장소
94,현대아이파크몰,37.529492,126.964318,0,100,0,서울특별시 용산구 아이파크몰 달 주차장 4.5층
95,현대아이파크몰,37.529492,126.964318,0,100,0,서울특별시 용산구 아이파크몰 해 주차장 4.5층
96,현대아이파크몰,37.529492,126.964318,0,100,0,서울특별시 용산구 아이파크몰 8층 옥상
97,선인상가,37.533068,126.963521,0,100,0,서울특별시 용산구 선인상가 21동 1층 외부
98,선인상가,37.533068,126.963521,0,100,0,서울특별시 용산구 선인상가 21동 옥상
99,대주아이피아,37.533417,126.96736,0,100,0,서울특별시 용산구 1층 공유지
100,전자랜드,37.532818,126.958895,0,100,0,서울특별시 용산구 주차장 지하 1층
101,아모레퍼시픽,37.52911,126.968532,0,100,0,서울특별시 용산구 아모레퍼시픽 10층 테라스
102,제일기획,37.535103,126.998616,0,100,0,서울특별시 용산구 제일기획 1층 외부 주차장
103,제이엘레지던스,37.536678,126.961147,0,100,0,서울특별시 용산구 건물 옥상
104,충영빌딩,37.538329,126.959979,0,100,0,서울특별시 용산구 충영빌딩 옥상
105,G테크밸리,37.533234,126.957656,0,100,0,"서울특별시 용산구 e테크밸리 공개공지, 옥상"
106,삼원빌딩,37.534626,126.959002,0,100,0,서울특별시 용산구 삼원빌딩 옥상
107,대교빌딩,37.533918,126.95763,0,100,0,서울특별시 용산구 대교빌딩 옥상
108,현대자동차,37.531999,126.953751,0,100,0,서울특별시 용산구 현대자동차사옥 옥상
109,진성빌딩,37.53461,126.966177,0,100,0,서울특별시 용산구 진성빌딩 옥상
110,미성상사,37.538839,126.968402,0,100,0,서울특별시 용산구 미성상사㈜ 1층 외부
111,미성상사,37.538839,126.968402,0,100,0,서울특별시 용산구 미성상사 공장 옥상
112,조양빌딩,37.536223,126.963549,0,100,0,서울특별시 용산구 조양빌딩 옥상
113,하나실업빌딩,37.534709,126.960734,0,100,0,서울특별시 용산구 하나실업빌딩 옥상
114,오리온제과,37.535767,126.969873,0,100,0,서울특별시 용산구 오리온제과 옥상
115,오리온제과,37.536202,126.969268,0,100,0,"서울특별시 용산구 오리온제과 공장 옥상, 주차장"
116,우경빌딩,37.534231,126.961404,0,100,0,"서울특별시 용산구 우경빌딩 옥상, 1층 외부"
117,대한지방행정공제회,37.531685,126.970651,0,100,0,서울특별시 용산구 POBA 지방행정공제회 건물 1층 주차장
118,넥서스밸리,37.534144,126.964859,0,100,0,서울특별시 용산구 넥서스밸리 1층 외부
119,GS한강에끌라트,37.531399,126.955431,0,100,0,서울특별시 용산구 GS한강에끌라트 1층 외부
120,한강그랜드오피스,37.531222,126.955055,0,100,0,서울특별시 용산구 한강그랜드오피스 주차장 옆
121,용산전자오피스텔,37.532207,126.956792,0,100,0,"서울특별시 용산구 용산전자오피스텔 옥상, 건물옆"
122,NH농협은행,37.533197,126.964645,0,100,0,서울특별시 용산구 NH농협은행 용산별관(하나로마트) 옥상
123,대우아이빌,37.531695,126.968805,0,100,0,"서울특별시 용산구 대우아이빌 16층 옥상, 1층 외부"
124,유베이스,37.538001,126.967147,0,100,0,서울특별시 용산구 유베이스 1층 외부
125,대원빌딩,37.535201,126.963618,0,100,0,서울특별시 용산구 대원빌딩 1층 현관옆
126,기독교대한감리회여선교회관,37.535109,127.011499,0,100,0,서울특별시 용산구 기독교대한감리회여선교회관 1층 외부
127,일각빌딩,37.540322,126.989802,0,100,0,서울특별시 용산구 일각빌딩 5층
128,한남빌딩,37.535022,126.997224,0,100,0,서울특별시 용산구 한남빌딩 5층 외부
129,비비안,37.528894,126.964038,0,100,0,서울특별시 용산구 남영비비안 1층 외부(정자)
130,서울역 풍림아이원플러스,37.55492,126.968415,0,100,0,서울특별시 용산구 서울역 풍림 아이원플러스 공개공지
131,세광음악사,37.553965,126.965964,0,100,0,서울특별시 용산구 세광음악사 옥상
132,한화빌딩,37.552032,126.968943,0,100,0,서울특별시 용산구 한화빌딩 1층 외부
133,보은개발,37.551185,126.96922,0,100,0,서울특별시 용산구 보은개발빌딩 옥상
134,애전빌딩,37.54175,126.970388,0,100,0,서울특별시 용산구 애전빌딩 옥상
135,갈월동 오피스,37.540529,126.972721,0,100,0,서울특별시 용산구 한진중공업 빌딩 5층 외부
136,KCC IT빌딩,37.548507,126.972205,0,100,0,서울특별시 용산구 KCC IT빌딩 옥상
137,금강토탈패션할인매장,37.543561,126.971505,0,100,0,서울특별시 용산구 금강토탈패션할인매장 주차장
138,용산빌딩,37.542611,126.972137,0,100,0,서울특별시 용산구 용산빌딩 1층 외부(건물뒤편)
139,청룡빌딩,37.541424,126.972679,0,100,0,서울특별시 용산구 청룡빌딩 주차장
140,롯데지알에스,37.54154,126.971791,0,100,0,"서울특별시 용산구 롯데지알에스 옥상, 주차장"
141,서경산업,37.544739,126.973179,0,100,0,서울특별시 용산구 금강빌딩 주차장
142,수빌딩,37.532824,126.970666,0,100,0,서울특별시 용산구 수빌딩 옥상
143,우리빌딩,37.54096,126.973516,0,100,0,서울특별시 용산구 우리빌딩 주차장
144,기업은행용산지점,37.541995,126.973179,0,100,0,서울특별시 용산구 기업은행용산지점 2층 베란다
145,진흥빌딩,37.5485,126.977574,0,100,0,서울특별시 용산구 진흥빌딩 옥상
146,한치과,37.54589,126.976959,0,100,0,서울특별시 용산구 한치과의원 건물 주차장
147,㈜하나은행,37.528002,126.967632,0,100,0,서울특별시 용산구 LS용산타워 주차장
148,용산더프라임,37.540259,126.969626,0,100,0,서울특별시 용산구 용산더프라임 업무동 지하 1층
149,한국폴리텍대학,37.529136,126.996483,0,100,0,서울특별시 용산구 한국폴리텍대학 정수캠퍼스
150,한국폴리텍대학,37.52871,126.996226,0,100,0,서울특별시 용산구 한국폴리텍대학 정수캠퍼스
151,한국폴리텍대학,37.529323,126.995976,0,100,0,서울특별시 용산구 한국폴리텍대학 정수캠퍼스
152,한국폴리텍대학,37.529799,126.996498,0,100,0,서울특별시 용산구 한국폴리텍대학 정수캠퍼스
153,용산구보건소,37.527798,126.967138,0,100,0,서울특별시 용산구 한강로2가 424-5(LS타워 인근 보도)
154,용산구보건소,37.532293,126.964512,0,100,0,서울특별시 용산구 한강로3가 12-6(용산전자상가1 공영주차장 인근 보도)
155,용산구보건소,37.532324,126.964955,0,100,0,서울특별시 용산구 한강로3가 17-1(신용산지하차도 인근 보도)
156,용산구보건소,37.553105,126.97281,0,100,0,서울특별시 용산구 동자동 14-151(서울역 11번 출구 인근 보도)
